track_id,spotify_id,title,artist,matched,identity_match,source_spotify_id,source_url,bpm,camelot,key_number,mode,energy,danceability,valence,instrumentalness,drive,groove,brightness,warmth,bass_weight,percussive_ratio,genres,duration_ms,search_match_type
spotify-70cLs3sjUFOKJroS191fgw,70cLs3sjUFOKJroS191fgw,POR FAVOR,Marc Moon,false,,,,,,,,,,,,,,,,,,,,
spotify-6cQZ6GKDkFDj0iGsjFfyq2,6cQZ6GKDkFDj0iGsjFfyq2,Shake,"Crisologo, ADDAM (BE)",true,exact-id,6cQZ6GKDkFDj0iGsjFfyq2,https://www.mixgraph.io/tracks/crisologo-shake,122,5A,0,0,0.761354071,0.794747993,0.426479587,0.998207452,0.550636,0.75267,0.425023,0.359269,0.910814,0.429627,Afro House,350287,strong
spotify-7GBhtxd4eVgA635ozUZSaj,7GBhtxd4eVgA635ozUZSaj,Smile,Lucca Saettone,false,,,,,,,,,,,,,,,,,,,,
spotify-1nsGJGpzFoD8O3CkeU8mpj,1nsGJGpzFoD8O3CkeU8mpj,Sueño,DANOR,true,exact-id,1nsGJGpzFoD8O3CkeU8mpj,https://www.mixgraph.io/tracks/danor-sueno,122,2B,6,1,0.776921823,0.703417929,0.53740596,0.714509377,0.733054,0.550641,0.274486,1,0.862289,0.404367,Melodic House & Techno,320655,strong
spotify-1B27a06OAQx7CS46plr5pU,1B27a06OAQx7CS46plr5pU,Toca Toca,"Sistek, Morry, Fly Project",false,,,,,,,,,,,,,,,,,,,,
spotify-7Fr8keCD6Ixkd5XCpC6EUv,7Fr8keCD6Ixkd5XCpC6EUv,Yo Te Sigo,Daww,false,,,,,,,,,,,,,,,,,,,,
spotify-2a2PjEwfXJn861qHXzJQHh,2a2PjEwfXJn861qHXzJQHh,Ze Roberto,Moojo,false,,,,,,,,,,,,,,,,,,,,
spotify-4U8vV8j993rpMdFn4dCn29,4U8vV8j993rpMdFn4dCn29,Sinnerman - 2022 Original Version,Siwell,false,,,,,,,,,,,,,,,,,,,,
spotify-1eitq6c6J9H8GyJYQxq6h1,1eitq6c6J9H8GyJYQxq6h1,Close To Me,"DAMIANO, Adrian Saguna",false,,,,,,,,,,,,,,,,,,,,
spotify-5KhyfCzCrjGfCRKHruIUl7,5KhyfCzCrjGfCRKHruIUl7,Quiver,"Colbora, CVALM, Budai House Clique",true,exact-id,5KhyfCzCrjGfCRKHruIUl7,https://www.mixgraph.io/tracks/colbora-quiver,120,9B,7,1,0.680501316,0.733244703,0.489655053,0.582071718,0.548442,0.744433,0.556273,0.426983,0.848678,0.43191,Melodic House & Techno,336192,strong
spotify-7crWP5nmpVQunuekqftSEr,7crWP5nmpVQunuekqftSEr,Yapa,"Josef Schumacher, Tobi Xander",true,exact-id,7crWP5nmpVQunuekqftSEr,https://www.mixgraph.io/tracks/josef-schumacher-yapa-extended-mix,123,12B,4,1,0.994266435,0.81985292,0.473754801,0.87177943,0.636624,0.913038,0.439535,0.368694,0.944206,0.418035,Afro House,347317,strong
spotify-28HAfQASgRFtJiJO95P0RY,28HAfQASgRFtJiJO95P0RY,Senolo,AFRONOM,true,exact-id,28HAfQASgRFtJiJO95P0RY,https://www.mixgraph.io/tracks/afronom-senolo-extended-mix,123,7A,2,0,0.744519881,0.763448911,0.478058449,0.769983147,0.597756,0.748069,0.583437,0.226686,0.864016,0.438457,Afro House,347317,strong
spotify-0OhOvavl37Rul1t8TlBMcv,0OhOvavl37Rul1t8TlBMcv,Need U,Mydoz,true,exact-id,0OhOvavl37Rul1t8TlBMcv,https://www.mixgraph.io/tracks/mydoz-need-u-extended-mix,123,8A,9,0,0.491889715,0.780125526,0.464784819,0.690178501,0.552705,0.893122,0.695137,0.413459,0.863281,0.416206,Afro House | Afro / Latin,321951,strong
spotify-5BhdMEXbQirRV4QYHoz96P,5BhdMEXbQirRV4QYHoz96P,Eres Para Mí - Radio Edit,Nico Falla,false,,,,,,,,,,,,,,,,,,,,
spotify-4OHTMdFofGPrSZJqKn4yBm,4OHTMdFofGPrSZJqKn4yBm,LA TRAVESÍA (Tech House),ToniTega,false,,,,,,,,,,,,,,,,,,,,
spotify-6oNdUnlUnXFDsiMY6yC1ti,6oNdUnlUnXFDsiMY6yC1ti,Happy Days - Radio Edit,Sweetpower,false,,,,,,,,,,,,,,,,,,,,
spotify-5ARMoO6PMW5XzN00dwTYW2,5ARMoO6PMW5XzN00dwTYW2,Suéltate,Greg Elenis,false,,,,,,,,,,,,,,,,,,,,
spotify-28Dw5KTUvyauj8RZnc8r2N,28Dw5KTUvyauj8RZnc8r2N,Celular,Sistek,false,,,,,,,,,,,,,,,,,,,,
spotify-32Yqrfs4BwDhCmF78Y3he9,32Yqrfs4BwDhCmF78Y3he9,Contigo Riddim,Malik,false,,,,,,,,,,,,,,,,,,,,
spotify-200DiJQhDi69nkGXOrrJgn,200DiJQhDi69nkGXOrrJgn,The Rapture Pt.III,"&ME, Black Coffee, Keinemusik",true,exact-id,200DiJQhDi69nkGXOrrJgn,https://www.mixgraph.io/tracks/me-the-rapture-ptiii,120,9A,4,0,0.176232145,0.744681029,0.55619766,0.542491234,0.426485,0.619627,0.922018,1,0.690883,0.407596,Melodic House & Techno,482000,strong
spotify-2GwsSbo6IbNDVvcm9rtmal,2GwsSbo6IbNDVvcm9rtmal,Say What,"Rampa, Adam Port, &ME, chuala, Keinemusik",true,exact-id,2GwsSbo6IbNDVvcm9rtmal,https://www.mixgraph.io/tracks/rampa-say-what-feat-chuala,120,8B,0,1,0.450197954,0.856888446,0.502329296,0.83581948,0.43014,0.958657,0.553007,0.618123,0.855344,0.39781,Afro House,416000,strong
spotify-093uABBO0VQxuHUgr4na2C,093uABBO0VQxuHUgr4na2C,After Everything,Miiles44,false,,,,,,,,,,,,,,,,,,,,
spotify-1de6YDcMK93DRCIv71DPYA,1de6YDcMK93DRCIv71DPYA,Where Did Your Love Go,"Moonshine, Sincerely Suav",false,,,,,,,,,,,,,,,,,,,,
